the_geom,the_geom_webmercator,objectid,serialnum,description,recycler,lat,lng,
0101000020E610000099AE26D468C852C0E8CB9F4238FE4340,0101000020110F0000CD1EA33F91E75FC1F9C5B959EC8D5241,706,174307,Se Boston/Kensington,no,39.98609193,-75.13139824,19125
0101000020E610000050258C0F48C852C0018C896969FE4340,0101000020110F000033EFBF9659E75FC116757FD5228E5241,707,174308,Ne Cumberland/Kensington,no,39.98759193,-75.12939824,19125
0101000020E6100000AF54FC7383C352C05903DEE1E3034440,0101000020110F0000D468904340DF5FC1AD47EDEE35945241,708,174309,Se Magee/Frankford ave,no,40.03039192,-75.05489826,19135
0101000020E6100000CC8287BBA7CD52C0A9785D7206044440,0101000020110F00006FAF4C4E7AF05FC10AD48C455C945241,709,174423,Sw Ridge/Monastery,no,40.03144674,-75.21336258,19128
0101000020E610000085B778556DCD52C06F5D355D67034440,0101000020110F0000013B1F1C17F05FC1ECD210D3AB935241,710,174425,Sw Ridge/Roxborough,no,40.02659192,-75.20979821,19128
0101000020E6100000E5F998C801C952C0DBD03A7199FE4340,0101000020110F00002940CD0E95E85FC13CD23013588E5241,711,174426,Ne 5th/Cumberland,no,39.98905769,-75.14073386,19133
0101000020E61000004B2BF8A9A3C252C03E5DA21CBF044440,0101000020110F00009ADBB422C4DD5FC101230B1C29955241,712,174428,Cottman / Frankford ave/Opposite Drougie's Pizza,yes,40.03708227,-75.04123925,19149
0101000020E610000062A0E94E7DCE52C049E39EFAE7F94340,0101000020110F00004E9FF015E5F15FC188A9959A24895241,713,174429,Ne 52nd/Larchwood,yes,39.95239194,-75.22639821,19143
0101000020E610000046D1DF99D6CC52C011C6E22709094440,0101000020110F0000B87C341317EF5FC1BC3E0474EB995241,714,174430,Se Willow Grove/Germantown ave,yes,40.07059191,-75.20059821,19118
0101000020E6100000A58DC1800AC952C0F9209A2E23FB4340,0101000020110F00003FFC58DEA3E85FC16D9962D8818A5241,715,174431,Nw 2nd/Fairmount,yes,39.96201117,-75.14126605,19123
0101000020E61000003F2C6E3982C252C093E61A42C9044440,0101000020110F0000DFFBC4558BDD5FC16D00635D34955241,716,174432,7340 Frankford ave,yes,40.03739191,-75.03919826,19136
0101000020E6100000361EEDA293C352C028ECFD2ECC034440,0101000020110F000007FCC3C05BDF5FC1F5DAB9A51B945241,717,174433,Sw Gilham/Frankford/ At WAWA,yes,40.02966869,-75.05588601,19135
0101000020E6100000C0E5A79700D052C0F02A7EAA87FE4340,0101000020110F0000465C43ED76F45FC1C6F8B15E448E5241,913,1401935,Nw 63rd/Overbrook,yes,39.9885152,-75.25003616,19151
0101000020E61000001551D0F55FCE52C00E9AEFF0DCFA4340,0101000020110F00003A7B2F3CB3F15FC1A15ED003348A5241,914,1401936,5132 Market st.,no,39.95986759,-75.22460695,19139
0101000020E6100000A9F9E5A8FBC952C0236B9F742DFA4340,0101000020110F0000A4CD657F3DEA5FC1245D319471895241,915,1401937,NE 10th/Cherry,yes,39.95451219,-75.15598509,19107
0101000020E6100000084AB4F0A0C952C00E4F981D08014440,0101000020110F0000E359C466A3E95FC1332558680A915241,916,1401938,3621 Germantown Ave .,no,40.00806017,-75.15044801,19140
0101000020E61000009FE32B41B9C852C0E70F1F1C08FC4340,0101000020110F000004FB28DC19E85FC1187385867F8B5241,917,1401939,Nw Front/Girard,no,39.96899749,-75.13630704,19123
0101000020E6100000A65412B8CECE52C05F339B99F8FD4340,0101000020110F0000CCE6BE5E6FF25FC1FA0770C9A58D5241,918,1401940,Nw 54th/Montgomery,yes,39.98414917,-75.23136713,19131
0101000020E6100000CB292B7206D152C0079AE7361FFD4340,0101000020110F0000F5ED20B633F65FC146B0C5D7B48C5241,919,1401941,7500 Haverford ave (In front of Shoe repair),no,39.97751509,-75.26601843,19151
0101000020E6100000D5744D6A68CF52C0D423F3351DFB4340,0101000020110F0000E141477074F35FC1FAF2893A7B8A5241,920,1401942,Se 60th/Market,no,39.96182894,-75.240748,19139
0101000020E61000005546EA4BD4CA52C0B86CAC1299F94340,0101000020110F000025531E7AADEB5FC1BE783D2FCD885241,921,1401943,Nw 17th/Walnut,no,39.94998392,-75.16920755,19103
0101000020E61000004970878566CE52C0056A3714DCFA4340,0101000020110F000051D95961BEF15FC115F13F0F338A5241,922,1401944,Sw 52nd Market,no,39.95984128,-75.22500742,19139
